round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
5958,2,2.09,-59.9,146.31,2,0,1,9,0
5959,1,2.08,157.2,145.44,1,0,0,18,0
5960,0,2.04,18.3,143.98,0,0,1,12,0
5961,1,2.04,266.1,145.91,1,0,0,15,1
5962,10,2.08,388.7,148.47,5,1,0,26,1
5963,0,2.06,50.9,149.03,0,0,1,13,0
5964,2,2.03,243.1,147.66,2,0,0,19,0
5965,0,2.03,-70.6,147.38,0,0,1,10,0
5966,2,2.03,95.0,146.7,2,0,1,12,0
5967,3,2.04,305.1,147.52,3,0,0,18,0
5968,0,2.02,38.0,145.05,0,0,1,21,0
5969,3,2.02,210.6,143.73,3,0,1,12,0
5970,1,2.0,44.0,142.73,1,0,1,9,0
5971,2,2.0,409.8,144.46,2,0,0,18,1
5972,2,2.02,454.5,146.82,2,0,0,14,1
5973,6,2.04,194.9,147.69,1,1,1,13,0
5974,0,2.03,-301.2,145.39,0,0,0,4,0
5975,0,2.02,53.2,144.75,0,0,0,8,0
5976,1,2.02,140.6,143.9,1,0,0,12,0
5977,2,2.03,29.8,144.14,2,0,1,12,0
5978,1,2.04,58.7,144.63,1,0,0,6,0
5979,1,2.03,508.3,146.09,1,0,0,21,1
5980,3,2.04,203.8,145.52,3,0,0,9,1
5981,3,2.02,323.7,145.85,3,0,0,17,0
5982,2,2.04,267.5,147.19,2,0,0,11,1
5983,2,2.04,141.5,147.17,2,0,1,10,0
5984,0,2.02,68.5,146.33,0,0,0,13,0
5985,1,2.0,161.2,145.66,1,0,0,18,0
5986,4,2.02,199.9,146.8,4,0,1,17,0
5987,3,2.02,262.3,147.67,3,0,0,12,0
5988,1,2.02,235.1,148.25,1,0,0,17,0
5989,0,2.0,-168.8,145.45,0,0,1,5,0
5990,2,2.0,382.7,146.43,2,0,0,16,1
5991,0,1.98,-587.2,141.83,0,0,1,6,0
5992,1,1.99,-9.7,141.53,1,0,0,6,0
5993,2,1.99,27.8,141.95,2,0,1,9,0
5994,0,1.99,18.3,142.27,0,0,0,14,0
5995,0,1.97,134.6,141.68,0,0,1,20,0
5996,0,1.97,97.4,142.48,0,0,0,17,0
5997,1,1.95,365.1,141.54,1,0,0,21,0
5998,0,1.95,-76.9,141.49,0,0,1,5,0
5999,1,1.95,91.2,140.69,1,0,0,13,0
6000,2,1.96,214.6,141.95,2,0,0,20,0
6001,0,1.93,-178.5,138.37,0,0,1,5,0
6002,5,1.95,510.5,141.21,5,0,0,19,1
6003,2,1.93,189.5,139.36,2,0,1,13,0
6004,3,1.95,179.4,140.15,3,0,1,19,0
6005,0,1.93,-344.2,137.03,0,0,1,5,0
6006,3,1.95,200.3,137.35,3,0,0,13,1
6007,3,1.94,323.2,139.15,3,0,0,18,0
6008,4,1.95,308.4,140.62,4,0,0,10,0
6009,2,1.96,116.3,140.94,2,0,1,19,0
6010,2,1.96,292.9,141.63,2,0,0,18,0
6011,9,2.0,544.7,143.69,4,1,0,10,1
6012,1,1.99,250.1,144.43,1,0,0,22,0
6013,0,1.99,92.9,143.83,0,0,1,11,0
6014,4,2.0,317.6,145.12,4,0,0,15,0
6015,1,2.0,39.6,144.67,1,0,1,11,0
6016,2,2.0,403.8,145.51,2,0,0,19,0
6017,1,2.0,-209.5,144.64,1,0,0,16,1
6018,3,2.01,184.1,145.14,3,0,1,19,0
6019,0,1.99,337.7,145.18,0,0,0,19,1
6020,1,1.99,39.7,145.74,1,0,0,7,0
6021,2,1.99,89.7,145.79,2,0,1,12,0
6022,2,2.0,285.2,147.97,2,0,0,15,0
6023,5,2.0,443.2,149.54,5,0,0,17,1
6024,0,1.99,391.6,151.55,0,0,0,14,1
6025,0,1.98,44.2,151.09,0,0,1,15,0
6026,8,2.0,252.2,150.13,3,1,0,18,1
6027,0,1.99,-33.9,149.94,0,0,1,8,0
6028,5,2.02,369.8,151.92,5,0,0,20,0
6029,3,2.02,-22.0,151.52,3,0,1,11,0
6030,1,2.02,312.7,153.08,1,0,0,9,0
6031,3,2.03,256.1,153.3,3,0,0,20,0
6032,1,2.04,-34.2,152.6,1,0,0,8,0
6033,4,2.02,244.0,153.27,4,0,0,17,1
6034,0,2.02,-96.3,152.06,0,0,1,6,0
6035,1,2.02,279.3,152.29,1,0,1,25,0
6036,2,2.02,175.4,153.02,2,0,0,10,0
6037,2,2.02,103.5,153.7,2,0,1,11,0
6038,2,2.03,214.2,155.17,2,0,0,12,0
6039,3,1.98,246.3,153.34,3,0,0,19,0
6040,0,1.97,-74.7,150.79,0,0,1,9,0
6041,8,2.0,444.2,153.85,3,1,0,17,0
6042,0,1.99,40.9,152.68,0,0,0,13,0
6043,3,2.0,159.2,154.17,3,0,1,16,0
6044,2,1.98,208.5,152.87,2,0,1,20,0
6045,1,1.99,153.5,153.37,1,0,0,14,0
6046,2,1.95,178.5,150.68,2,1,1,18,0
6047,3,1.96,266.5,151.51,3,0,0,15,0
6048,0,1.95,14.2,150.84,0,0,1,12,0
6049,3,1.96,108.5,151.3,3,0,1,13,0
6050,0,1.95,-114.5,149.38,0,0,1,7,0
6051,7,1.97,169.4,148.13,2,1,0,8,0
6052,3,1.97,297.5,148.96,3,0,0,17,0
6053,4,1.99,430.2,151.14,4,0,0,21,1
6054,4,1.99,520.5,152.3,4,0,0,28,1
6055,1,1.99,232.2,154.12,1,0,0,13,0
6056,2,1.97,136.4,154.19,2,0,0,8,0
6057,8,2.0,-62.3,153.07,3,1,1,11,0
6058,4,2.02,10.6,153.64,4,0,1,8,0
6059,1,2.02,172.3,154.27,1,0,0,9,0
6060,1,2.03,45.4,155.76,1,0,0,18,1
6061,0,2.02,43.6,154.96,0,0,1,8,0
6062,1,2.02,105.7,155.22,1,0,0,17,0
6063,2,2.02,368.6,156.09,2,0,0,13,1
6064,5,2.04,419.4,157.61,5,0,0,26,1
6065,0,2.04,-100.4,157.84,0,0,0,3,0
6066,2,2.03,303.5,158.05,2,0,0,22,0
6067,1,2.04,84.3,159.22,1,0,0,7,0
6068,0,2.02,-8.0,159.32,0,0,1,12,0
6069,1,2.02,17.0,158.8,1,0,0,12,1
6070,0,2.02,140.4,158.94,0,0,0,8,0
6071,3,1.99,170.0,157.32,3,0,0,14,0
6072,1,1.99,77.0,156.58,1,0,1,14,0
6073,3,1.99,355.9,158.78,3,0,1,13,0
6074,3,2.0,400.9,159.18,3,0,0,23,0
6075,0,1.99,153.1,159.12,0,0,0,22,0
6076,2,1.99,262.6,159.06,2,0,1,21,0
6077,3,2.0,184.7,160.16,3,0,1,13,0
6078,0,1.99,-8.4,159.7,0,0,0,9,0
6079,1,1.97,35.8,157.8,1,0,0,8,0
6080,2,1.97,28.3,156.91,2,0,0,18,1
6081,2,1.98,264.8,158.12,2,0,0,18,0
6082,0,1.98,-11.7,157.87,0,0,0,17,0
6083,3,1.98,366.5,158.64,3,0,1,20,0
6084,3,1.98,485.9,159.74,3,0,0,21,1
6085,2,1.96,274.3,160.38,2,0,0,15,1
6086,1,1.96,91.1,160.05,1,0,1,18,0
6087,1,1.97,58.3,159.6,1,0,0,14,0
6088,2,1.97,137.5,160.7,2,0,1,15,0
6089,0,1.97,95.0,160.64,0,0,0,12,0
6090,3,1.99,152.2,160.81,3,0,1,14,0
6091,2,1.98,233.9,160.93,2,0,0,6,1
6092,1,1.98,334.5,162.27,1,0,0,24,1
6093,3,1.97,411.3,163.44,3,0,0,15,1
6094,2,1.97,154.7,162.31,2,0,0,12,1
6095,1,1.96,185.1,161.72,1,0,0,15,0
6096,2,1.97,166.3,162.38,2,0,0,6,0
6097,1,1.97,168.3,165.14,1,0,0,15,0
6098,0,1.96,318.8,165.53,0,0,0,16,1
6099,7,1.95,569.6,166.42,2,1,0,21,0
6100,1,1.95,29.0,166.25,1,0,1,9,0
6101,0,1.92,-92.0,164.54,0,0,0,4,0
6102,0,1.91,-2.5,163.65,0,0,1,12,0
6103,4,1.93,229.5,165.53,4,0,0,22,0
6104,2,1.93,32.0,165.54,2,0,0,7,0
6105,1,1.92,204.2,164.98,1,0,0,11,0
6106,8,1.95,481.3,166.32,3,1,0,23,1
6107,0,1.94,124.1,166.18,0,0,0,13,0
6108,5,1.96,484.3,168.24,5,0,0,21,1
6109,1,1.96,-179.2,167.33,1,0,0,15,1
6110,3,1.98,248.6,169.05,3,0,0,11,0
6111,12,2.03,485.2,170.92,2,2,0,20,0
6112,4,2.04,270.8,171.0,4,0,0,21,1
6113,4,2.04,-10.1,170.22,4,0,0,12,0
6114,3,2.06,112.7,170.28,3,0,0,12,0
6115,1,2.06,215.8,171.4,1,0,1,18,0
6116,5,2.08,-5.4,169.62,0,1,1,7,0
6117,0,2.08,96.3,169.31,0,0,0,14,0
6118,1,2.08,-48.1,166.46,1,0,1,6,0
6119,3,2.07,235.1,166.14,3,0,0,23,0
6120,4,2.08,255.4,166.3,4,0,1,17,0
6121,1,2.05,150.4,165.16,1,0,0,17,0
6122,7,2.08,160.2,165.82,2,1,1,12,0
6123,1,2.08,9.6,166.16,1,0,1,9,0
6124,2,2.08,229.8,164.88,2,0,0,17,1
6125,2,2.1,209.1,165.43,2,0,0,23,0
6126,1,2.1,175.2,165.38,1,0,1,14,0
6127,1,2.1,-21.1,164.98,1,0,1,9,0
6128,1,2.1,-213.8,164.95,1,0,1,5,0
6129,1,2.1,439.4,165.19,1,0,0,22,1
6130,3,2.1,579.1,167.67,3,0,0,15,1
6131,4,2.12,300.7,169.33,4,0,0,9,0
6132,7,2.15,369.2,169.7,2,1,0,23,0
6133,2,2.12,355.6,169.73,2,0,0,27,0
6134,5,2.15,99.4,169.76,0,1,1,14,0
6135,3,2.15,257.7,170.91,3,0,0,16,0
6136,1,2.15,110.3,170.42,1,0,0,9,0
6137,1,2.14,34.0,170.27,1,0,1,11,0
6138,2,2.15,136.3,170.35,2,0,0,12,0
6139,4,2.15,419.7,172.35,4,0,0,26,0
6140,1,2.15,1.3,169.8,1,0,0,9,0
6141,2,2.15,224.4,170.96,2,0,0,19,0
6142,3,2.15,-4.2,169.47,3,0,0,13,1
6143,1,2.15,-26.1,168.1,1,0,0,11,0
6144,0,2.14,-27.1,166.22,0,1,1,5,0
6145,3,2.15,145.5,167.12,3,0,1,21,0
6146,3,2.17,-1.9,167.5,3,0,0,14,0
6147,1,2.15,146.3,166.14,1,0,0,10,1
6148,1,2.15,287.1,166.11,1,0,0,17,0
6149,4,2.17,141.3,165.76,4,0,1,11,0
6150,3,2.15,438.0,166.32,3,0,0,15,1
6151,3,2.15,272.6,166.23,3,0,0,17,0
6152,1,2.14,282.0,165.73,1,0,0,17,1
6153,0,2.12,0.5,166.01,0,0,1,15,0
6154,1,2.12,125.5,164.76,1,0,0,9,0
6155,0,2.1,122.8,164.03,0,0,0,16,0
6156,1,2.11,165.7,164.61,1,0,0,17,0
